,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
283,13.548,6.1,673,15000000,7885048,-7114952,action,adventure,drama
285,24.52,6.7,4995,49000000,105002056,56002056,action,crime,drama
286,9.454,6.9,1398,44000000,48478084,4478084,drama,fantasy,romance
287,6.546,7.0,329,20000000,8300821,-11699179,biography,drama,sport
288,6.406000000000001,6.4,216,100000,59424,-40576,comedy,crime,drama
289,0.6,1.0,1,1500000,0,-1500000,action,crime,thriller
291,14.658,5.0,842,1000000,42411721,41411721,horror,mystery,thriller
292,26.386,6.2,903,50000000,8004221,-41995779,crime,drama,history
293,13.744000000000002,6.0,657,25000000,23190292,-1809708,action,comedy,crime
294,8.807,5.9,940,13000000,11831131,-1168869,drama,music,romance
295,3.793,5.4,29,2500000,0,-2500000,comedy,drama,family
296,20.930999999999997,7.4,1280,75000000,197504758,122504758,adventure,animation,comedy
297,12.556,6.7,3084,12000000,123681790,111681790,drama,sci-fi,thriller
304,15.574000000000002,5.7,3714,125000000,493214888,368214888,action,adventure,fantasy
306,1.067,7.2,19,1500000,5396,-1494604,comedy,crime,drama
307,0.6,8.0,1,100000,0,-100000,comedy,drama,romance
308,14.681,6.8,4505,102000000,130673154,28673154,action,drama,mystery
309,18.335,6.4,1679,78000000,274392649,196392649,adventure,animation,comedy
311,4.408,4.2,36,8000000,0,-8000000,action,crime,thriller
315,10.584000000000001,6.5,1371,40000000,72295262,32295262,action,drama,thriller
318,1.9269999999999998,5.1,21,3000000,7445044,4445044,action,comedy,crime
319,6.93,6.4,340,270000,830700,560700,biography,crime,drama
320,17.046,5.2,1024,20000000,79114085,59114085,action,adventure,fantasy
321,12.809000000000001,7.1,1435,35000000,50363790,15363790,biography,drama,sport
323,10.444,6.3,2128,60000000,137551594,77551594,action,drama,thriller
324,12.357000000000001,6.2,1114,25000000,98406855,73406855,action,crime,drama
325,7.51,7.2,297,12500000,11826980,-673020,biography,crime,drama
327,8.82,5.4,796,37000000,55909910,18909910,action,comedy,crime
329,8.016,6.0,215,10000000,2179623,-7820377,drama,thriller,war
336,5.121,4.1,23,3000000,331000,-2669000,biography,crime,documentary
339,13.651,5.9,897,31500000,38771262,7271262,action,crime,drama
340,7.914,5.9,166,7000000,386744,-6613256,crime,drama,thriller
341,9.897,6.5,2986,55000000,74966854,19966854,drama,fantasy,horror
343,1.755,4.9,18,1200000,0,-1200000,horror,mystery,thriller
346,7.735,6.0,201,7000000,10062896,3062896,comedy,drama,romance
347,2.6069999999999998,4.6,33,1250000,0,-1250000,comedy,romance,thriller
349,6.625,5.5,103,3000000,1324299,-1675701,comedy,drama,romance
350,10.022,8.1,358,9500000,294654618,285154618,action,biography,drama
351,3.035,6.2,22,14000000,34700000,20700000,drama,mystery,romance
352,8.933,6.7,260,10000000,8465845,-1534155,biography,comedy,drama
353,15.75,5.9,4197,150000000,238202668,88202668,comedy,fantasy,horror
354,11.582,6.1,1004,3500000,27704111,24204111,horror,sci-fi,thriller
355,15.331,7.3,2715,30000000,150807172,120807172,biography,drama,history
356,4.656000000000001,5.0,46,12000000,1200346,-10799654,comedy,drama,romance
357,12.498,6.0,1743,55000000,152269033,97269033,comedy,crime,romance
358,1.4,2.0,1,75000,8799,-66201,drama,sci-fi,thriller
359,27.641,7.3,7080,170000000,710644566,540644566,action,adventure,drama
361,1.4,4.2,3,80000000,158908290,78908290,crime,horror,thriller
362,10.349,6.0,866,30000000,19599974,-10400026,action,crime,drama
363,9.491,5.9,357,6000000,1673635,-4326365,crime,drama,thriller
365,35.067,7.6,20175,58000000,801025593,743025593,action,adventure,comedy
366,38.894,7.5,8773,110000000,786680557,676680557,action,adventure,comedy
367,12.048,6.8,2676,25000000,142033509,117033509,drama,romance,war
368,7.455,6.1,296,1250000,5403771,4153771,comedy,drama,romance
370,18.014,5.9,1207,30000000,48575965,18575965,action,crime,drama
372,13.685,6.7,2606,156000000,122603824,-33396176,action,drama,history
373,11.283,6.1,1104,30000000,87956618,57956618,horror,mystery,thriller
376,22.738000000000003,6.6,1244,30000000,80131391,50131391,action,crime,drama
380,1.508,6.9,33,4000000,596335,-3403665,biography,drama,music
381,23.673000000000002,7.2,10057,69000000,543464573,474464573,animation,comedy,family
382,19.014,6.9,7319,76000000,975216835,899216835,adventure,animation,comedy
383,16.407,6.3,4106,75000000,1034727750,959727750,adventure,animation,comedy
384,17.815,5.9,176,9000000,3681096,-5318904,action,crime,drama
386,4.268,5.0,50,500000,1778,-498222,action,adventure,comedy
388,5.893,4.5,303,7000000,36146087,29146087,horror,mystery,thriller
392,12.255999999999998,6.0,736,15000000,76954311,61954311,comedy,drama,family
398,16.982,6.9,8279,85000000,276014965,191014965,action,adventure,mystery
402,33.035,7.3,12582,165000000,676404566,511404566,action,adventure,fantasy
405,7.254,5.8,302,7000000,1857458,-5142542,comedy,crime,drama
406,12.78,5.9,2709,5500000,41268579,35768579,comedy,drama,romance
407,8.405,5.5,550,25000000,39126427,14126427,fantasy,horror,thriller
408,9.246,7.2,954,7000000,18190831,11190831,comedy,crime,drama
411,29.043000000000003,6.2,3719,70000000,220241723,150241723,action,drama,fantasy
413,6.867999999999999,7.4,721,8500000,122747755,114247755,action,adventure,animation
414,0.664,3.0,2,60000000,30063805,-29936195,action,adventure,sci-fi
416,9.047,6.0,670,50000000,41642166,-8357834,drama,mystery,thriller
417,1.4,5.2,5,68000000,75685268,7685268,crime,documentary,drama
418,13.222999999999999,6.7,2788,45000000,41467606,-3532394,action,crime,sci-fi
