,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre
1492,16.595,4.6,2143,150000000,319713881,169713881,action
1493,8.759,5.3,407,10600000,261364,-10338636,adventure
1494,9.35,5.6,519,1800000,70165900,68365900,drama
1495,7.561,4.5,297,4000000,25448707,21448707,drama
1496,5.079,5.9,230,2000000,205298,-1794702,comedy
1497,1.4,4.9,9,13400000,164247,-13235753,comedy
1498,9.237,7.2,2199,20000000,92678948,72678948,drama
1499,15.894,5.9,1692,30000000,48330757,18330757,action
1500,16.685,5.8,2193,80000000,130818912,50818912,action
1501,10.157,5.1,825,5000000,38359310,33359310,horror
1502,13.754000000000001,4.5,805,70000000,58953319,-11046681,action
1503,14.797,5.8,4102,180000000,348902025,168902025,action
1504,19.352,7.2,2882,80000000,310660018,230660018,action
1505,19.375,7.4,4839,60000000,457729388,397729388,action
1506,14.607000000000001,6.3,424,70000000,122737201,52737201,action
1507,29.886999999999997,7.1,831,20000000,22281732,2281732,drama
1508,11.812000000000001,7.1,1525,40000000,87145086,47145086,crime
1509,28.583000000000002,8.2,10160,79300000,986214868,906914868,adventure
1510,1.4,4.5,3,1500000,0,-1500000,biography
1511,8.512,7.6,1493,77500000,102028919,24528919,adventure
1512,15.64,6.9,2895,4500000,18019834,13519834,comedy
1513,12.482000000000001,6.0,3789,275000000,260002115,-14997885,action
1514,11.168,7.5,1908,34000000,63802928,29802928,drama
1515,0.6,5.0,1,300000,1711,-298289,fantasy
1516,8.434,5.3,445,1500000,1541131,41131,horror
1517,10.202,6.2,844,25000000,29863840,4863840,action
1518,11.048,6.2,1397,30000000,17121823,-12878177,adventure
1519,2.164,5.5,21,2500000,549632,-1950368,adventure
1520,0.6,5.0,2,15000000,9010980,-5989020,adventure
1521,5.232,4.7,47,35000000,53899,-34946101,action
